Krankenhaus,Adresse,n_Betten,url
St. Elisabeth-Krankenhaus Jülich,"Kurfürstenstrasse  22, 52428 Jülich",156,http://www.krankenhaus-juelich.de/
Sana Dreifaltigkeits-Krankenhaus Köln,"Aachener Str. 445-449, 50933 Köln",80,http://www.dfk-koeln.de
Helios Klinik Wipperfürth,"Alte Kölner Straße 9, 51688 Wipperfürth",131,http://www.helios-gesundheit.de/wipperfuerth
Elisabeth- Krankenhaus GmbH,"Cranger Str. 226, 45891 Gelsenkirchen",223,http://www.elisabeth-krankenhaus-ge.de/4547/
Marienhospital Gelsenkirchen GmbH,"Virchowstr. 122, 45886 Gelsenkirchen",568,http://marienhospital.eu/marienhospital-gelsenkirchen/
Sankt Marien-Hospital Buer GmbH,"Mühlenstr. 5-9, 45894 Gelsenkirchen",257,N/A
Evangelische Kliniken Gelsenkirchen GmbH,"Munckelstr. 27, 45879 Gelsenkirchen",433,https://evk-ge.meinediakonie.de/
Universitätsklinikum Münster,"Domagkstr. 5, 48149 Münster",1.457,http://klinikum.uni-muenster.de
Ludgerus-Kliniken Münster GmbH-Standort Clemenshospital,"Düesbergweg 124, 48153 Münster",405,https://www.clemenshospital.de
Ludgerus-Kliniken Münster GmbH-Standort Raphaelsklinik,"Loerstraße 23, 48143 Münster",275,https://www.raphaelsklinik.de
Herz-Jesu-Krankenhaus Hiltrup GmbH,"Westfalenstr. 109, 48165 Münster",355,https://www.hjk-muenster.de/startseite.html
Evangelisches Krankenhaus Johannisstift Münster gGmbH,"Wichernstr. 8, 48147 Münster",181,http://www.evk-muenster.de
LWL-Klinik Münster,"Friedrich-Wilhelm-Weber-Straße 30, 48147 Münster",376,http://www.lwl.org/LWL/Gesundheit/psychiatrieverbund/K/klinik_muenster/
Fachklinik Hornheide,"Dorbaumstraße 300, 48157 Münster",158,https://www.fachklinik-hornheide.de
Alexianer Krankenhaus Münster,"Alexianerweg 9, 48163 Münster",110,http://www.alexianer-muenster.de
Klinikum Westmünsterland St. Marien- Krankenhaus Ahaus,"Wüllener Straße 101, 48683 Ahaus",271,http://www.klinikum-westmuensterland.de/ahaus/
Klinikum Westmünsterland St. Marien- Hospital Vreden,"An´t Lindeken 100, 48691 Vreden",110,https://www.klinikum-westmuensterland.de/vreden/
Klinikum Westmünsterland St. Agnes-Hospital Bocholt,"Barloer Weg 125, 46397 Bocholt",441,http://wwww.klinikum-westmuensterland.de/bocholt/
Klinikum Westmünsterland St. Vinzenz-Hospital Rhede,"Vinzenz Straße 6, 46414 Rhede",125,http://www.st-agnes-bocholt.de
St. Marien-Hospital Borken,"Am Boltenhof 7, 46325 Borken",336,http://www.klinikum-westmuensterland.de/borken/
St. Antonius-Hospital Gronau GmbH,"Möllenweg 22, 48599 Gronau",266,http://www.st-antonius-gronau.de
Evangelisches Lukas-Krankenhaus Gronau gGmbH,"Zum Lukas-Krankenhaus 1, 48599 Gronau",110,http://www.lukas-gronau.de
Augustahospital Anholt,"Augustastraße 8, 46419 Isselburg",91,https://www.augustahospital.de/
Krankenhaus und MVZ Maria-Hilf Stadtlohn GmbH,"Vredener Str. 58, 48703 Stadtlohn",157,https://www.klinikum-westmuensterland.de/stadtlohn/
"Christophorus-Kliniken Coesfeld – Dülmen – Nottuln, Standort Coesfeld","Südring 41, 48653 Coesfeld",325,http://www.christophorus-kliniken.de
"Christophorus-Kliniken Coesfeld – Dülmen – Nottuln, Standort Dülmen","Vollenstraße 10, 48249 Dülmen",194,http://www.christophorus-kliniken.de
"Christophorus-Kliniken Coesfeld – Dülmen – Nottuln, Standort Nottuln","Hagenstraße 35, 48301 Nottuln",101,http://www.christophorus-kliniken.de
Klinik am Schlossgarten Dülmen,"Am Schlossgarten 10, 48249 Dülmen",92,http://www.kas-duelmen.de
"Klinik am Schlossgarten, Standort Nottuln","Uphovener Weg 5, 48301 Nottuln",28,http://www.kas-duelmen.de
Tagesklinik Am Mühlenweg Dülmen,"Mühlenweg 86, 48249 Dülmen",35,http://www.kas-duelmen.de
St. Marien-Hospital Lüdinghausen GmbH,"Neustraße 1, 59348 Lüdinghausen",164,http://www.smh-luedinghausen.de
Ev. Krankenhaus Castrop-Rauxel,"Grutholzallee 21, 44577 Castrop-Rauxel",388,http://www.evk-castrop-rauxel.de
Vestische Kinder- und Jugendklinik Datteln - Universität Witten/Herdecke,"Dr.-Friedrich-Steiner-Straße 5, 45711 Datteln",236,http://www.kinderklinik-datteln.de
St. Vincenz-Krankenhaus,"Rottstraße 11, 45711 Datteln",351,http://www.vincenz-datteln.de
St. Antonius-Krankenhaus,"Gartenstr. 17, 46244 Bottrop-Kirchhellen",140,http://www.kkel.de/
St. Barbara-Hospital,"Barbarastraße 1, 45964 Gladbeck",306,http://www.kkel.de/
St. Josef-Hospital,"Rudolf-Bertram-Platz 1, 45899 Gelsenkirchen",256,http://www.kkel.de/
St. Elisabeth-Hospital Herten,"Im Schloßpark 12, 45699 Herten",310,http://www.st-elisabeth-hospital.de
"LWL-Klinik Marl-Sinsen, Haardklinik; Kinder- und Jugendpsychiatrie – Psychotherapie –Psychosomatik","Halterner Straße 525, 45770 Marl",119,https://www.haardklinik.lwl.org/de/
LWL Klinik Marl-Sinsen Tagesklinik Recklinghausen,"Herner Straße 22, 45657 Recklinghausen",1,https://www.haardklinik.lwl.org/de/therapie-behandlung/tageskliniken/tagesklinik-recklinghausen/
LWL Klinik Marl-Sinsen Tagesklinik Herne,"Ludwigstraße 14, 44649 Herne",1,https://www.haardklinik.lwl.org/de/therapie-behandlung/tageskliniken/tagesklinik-herne/
LWL Klinik Marl-Sinsen Tagesklinik Borken,"Bocholter Straße 5, 46325 Borken",1,https://www.haardklinik.lwl.org/de/therapie-behandlung/tageskliniken/tagesklinik-borken/
LWL Klinik Marl-Sinsen Tagesklinik Coesfeld,"Dülmener Straße 21-23, 48653 Coesfeld",1,https://www.haardklinik.lwl.org/de/therapie-behandlung/tageskliniken/tagesklinik-coesfeld/
LWL Klinik Marl-Sinsen Tagesklinik Gronau,"Bentheimer Str 20, 48599 Gronau",1,https://www.haardklinik.lwl.org/de/therapie-behandlung/tageskliniken/tagesklinik-gronau/
LWL Klinik Marl-Sinsen Tagesklinik Bottrop,"Josef-Albers-Straße 72, 46236 Bottrop",1,https://www.haardklinik.lwl.org/de/therapie-behandlung/tageskliniken/tagesklinik-bottrop/
Prosper-Hospital gGmbH,"Mühlenstraße 27, 45659 Recklinghausen",463,http://www.prosper-hospital.de/
Elisabeth Krankenhaus Recklinghausen,"Röntgenstr. 10, 45661 Recklinghausen",230,http://www.ekonline.de
St.-Laurentius-Stift,"Hochstraße 20, 45731 Waltrop",151,http://www.laurentius-stift.de
St. Antonius Krankenhaus Hörstel - Klinik für Suchtmedizin und Psychotherapie,"Krankenhausstraße 17, 48477 Hörstel",64,http://www.fachklinik-hoerstel.de/
LWL-Klinik Lengerich,"Parkallee 10, 49525 Lengerich",279,http://www.lwl-klinik-lengerich.de
LWL-Klinik Lengerich Standort Rheine,"Hörstkamp 12, 48431 Rheine",60,http://www.lwl-klinik-lengerich.de
Tagesklinik Steinfurt,"Arnold-Kock-Straße 10, 48565 Steinfurt",1,http://www.lwl-klinik-lengerich.de
Tagesklinik Ibbenbüren,"Rudolf-Diesel-Str. 18, 49479 Ibbenbüren",1,http://www.lwl-klinik-lengerich.de
Pius-Hospital Ochtrup,"Piusstr. 5, 48607 Ochtrup",50,https://www.piushospital.de/
Klinikum Rheine / Mathias-Spital Rheine,"Frankenburgstrasse 31, 48431 Rheine",481,https://www.mathias-spital.com/
Klinikum Rheine / Jakobi Krankenhaus,"Hörstkamp 12, 48431 Rheine",177,https://www.mathias-spital.com/
St. Franziskus-Hospital Ahlen,"Robert-Koch-Straße 55, 59227 Ahlen",307,http://www.sfh-ahlen.de
St. Elisabeth-Hospital Beckum GmbH,"Elisabethstraße 10, 59269 Beckum",228,http://www.krankenhaus-beckum.de
St. Josef-Stift Sendenhorst,"Westtor 7, 48324 Sendenhorst",326,https://www.st-josef-stift.de
St. Rochus-Hospital Telgte,"Am Rochus-Hospital 1, 48291 Telgte",291,http://www.srh-telgte.de
Josephs-Hospital Warendorf,"Am Krankenhaus 2, 48231 Warendorf",241,http://www.jhwaf.de
Knappschaftskrankenhaus Bottrop GmbH,"Osterfelder Straße  157, 46242 Bottrop",372,http://www.kk-bottrop.de/
Bergmannsheil und Kinderklinik Buer GmbH,"Schernerweg 4, 45894 Gelsenkirchen",336,http://www.bergmannsheil-buer.de
Klinikum Vest GmbH,"Dorstener Straße 151, 45657 Recklinghausen",422,http://www.klinikum-vest.de
"Klinikum Vest GmbH, Paracelsus-Klinik Marl","Lipper Weg 11, 45770 Marl",343,http://www.klinikum-vest.de
LWL-Klinik Herten,"Im Schloßpark 20, 45699 Herten",226,http://www.lwl-klinik-herten.de
LWL-Klinik Herten - Tagesklinik Dorsten,"Clemens-August-Straße 49, 46282 Dorsten",20,https://www.lwl-klinik-herten.de/unsere-einrichtungen/tageskliniken/tagesklinik-dorsten
LWL-Klinik Herten - Tagesklinik Haltern,"Sixtusstraße 27, 45721 Haltern am See",20,https://www.lwl-klinik-herten.de/unsere-einrichtungen/tageskliniken/tagesklinik-haltern
St. Elisabeth-Krankenhaus,"Große Str. 41, 49477 Ibbenbüren",252,https://www.klinikum-ibbenbueren.de/
von Bodelschwingh-Krankenhaus,"Schulstr. 11, 49477 Ibbenbüren",180,https://www.klinikum-ibbenbueren.de/
St. Franziskus-Hospital GmbH Münster,"Hohenzollernring 70, 48145 Münster",612,http://www.sfh-muenster.de
HELIOS Klinik Lengerich,"Martin-Luther-Straße 49, 49525 Lengerich",171,https://www.helios-gesundheit.de/kliniken/lengerich/
Marienhospital Bottrop gGmbH,"Josef-Albers-Str. 70, 46236 Bottrop",358,http://www.mhb-bottrop.de
St. Elisabeth-Krankenhaus Dorsten,"Pfarrer-Wilhelm-Schmitz-Straße 1, 46282 Dorsten",307,http://www.kkrn.de
St. Sixtus-Hospital Haltern,"Gartenstraße 2, 45721 Haltern am See",183,http://www.kkrn.de
Marien-Hospital Marl,"Hervester Straße 57, 45768 Marl",281,http://www.kkrn.de
Gertrudis-Hospital Westerholt,"Kuhstraße 23, 45701 Herten",180,http://www.kkrn.de
Klinikum Bielefeld gem. GmbH,"Teutoburger Str. 50, 33604 Bielefeld",661,http://www.klinikumbielefeld.de/
"Klinikum Bielefeld, Standort Rosenhöhe","An der Rosenhöhe 27, 33647 Bielefeld",309,http://www.klinikumbielefeld.de/
"Klinikum Bielefeld gem. GmbH, Standort Halle/Westfalen","Winnebrockstr. 1, 33790 Halle",170,http://www.klinikumbielefeld.de/
Evangelisches Klinikum Bethel gGmbH Standort Bethel,"Kantensiek 11, 33617 Bielefeld",1.460,http://www.evkb.de
Evangelisches Klinikum Bethel gGmbH - Standort Johannesstift,"Schildescher Straße 99, 33611 Bielefeld",1.460,http://www.evkb.de
Klinik Dr. Hartog,"Kiskerstraße 13-15, 33615 Bielefeld",13,http://www.klinikdrhartog.de
Klinikum Gütersloh,"Reckenberger Str. 19, 33332 Gütersloh",410,http://www.klinikum-guetersloh.de
Sankt Elisabeth Hospital,"Stadtring Kattenstroth 130, 33332 Gütersloh",364,https://www.sankt-elisabeth-hospital.de
Sankt Lucia Hospital,"Dechant-Budde-Weg 3, 33428 Harsewinkel",60,https://www.sankt-elisabeth-hospital.de
Marienhospital Oelde,"Spellerstraße 16, 59302 Oelde",185,https://www.marienhospital-oelde.de
LWL-Klinikum Gütersloh,"Buxelstraße 50, 33334 Gütersloh",439,http://www.lwl-klinik-guetersloh.de
LWL-Klinikum Tagesklinik Halle,"Moltkestraße 6, 33790 Halle",22,http://www.lwl-klinik-guetersloh.de
Lukas-Krankenhaus Bünde,"Hindenburgstraße 56, 32257 Bünde",281,http://www.lukas-krankenhaus.de
Ev. Krankenhaus Enger gGmbH,"Hagenstraße 47, 32130 Enger",73,http://www.krankenhaus-enger.de
Klinikum Herford,"Schwarzenmoorstraße 70, 32049 Herford",863,http://www.klinikum-herford.de
St. Ansgar Krankenhaus Höxter,"Brenkhäuser Str. 71, 37671 Höxter",371,http://www.khwe.de
St. Josef Hospital Bad Driburg,"Elmarstr. 38, 33014 Bad Driburg",247,http://www.khwe.de/
St. Rochus Krankenhaus Steinheim,"Nieheimer Str. 34, 32839 Steinheim",107,http://www.khwe.de
St. Vincenz Hospital Brakel,"Danziger Str. 17, 33034 Brakel",138,http://www.khwe.de
Helios Klinikum Warburg GmbH,"Hüffertstraße 50, 34414 Warburg",139,http://www.helios-gesundheit.de/warburg
AMEOS Klinikum Bad Salzuflen,"Waldstrasse 2, 32105 Bad Salzuflen",131,https://www.ameos.eu/standorte/ameos-west/bad-salzuflen/ameos-klinikum-dr-spernau-bad-salzuflen/
Klinikum Lippe Detmold,"Röntgenstraße 18, 32756 Detmold",632,http://www.klinikum-lippe.de
Klinikum Lippe Lemgo,"Rintelner Straße 85, 32657 Lemgo",436,http://www.klinikum-lippe.de
Klinikum Lippe Bad Salzuflen,"Heldmanstraße 45, 32108 Bad Salzuflen",96,http://www.klinikum-lippe.de
MKK Krankenhaus Bad Oeynhausen,"Wielandstraße 28, 32545 Bad Oeynhausen",330,http://www.muehlenkreiskliniken.de
MKK Auguste Viktoria Klinik,"Am Kokturkanal 2, 32545 Bad Oeynhausen",136,http://muehlenkreiskliniken.de
Herz- und Diabeteszentrum NRW,"Georgstrasse  11, 32545 Bad Oeynhausen",500,http://www.hdz-nrw.de
Rheuma-Klinik Dr. Lauven,"Bismarckstr. 7, 32545 Bad Oeynhausen",30,http://www.rheumaklinik-dr.lauven.de
"Krankenhaus Lübbecke-Rahden, Betriebsstelle Lübbecke","Virchowstraße 65, 32312 Lübbecke",494,https://www.muehlenkreiskliniken.de/mkk.html
"Krankenhaus Lübbecke-Rahden, Betriebsstelle Rahden","Hohe Mühle 3, 32369 Rahden",78,https://www.muehlenkreiskliniken.de/mkk.html
Johannes Wesling Klinikum Minden,"Hans-Nolte-Str. 1, 32429 Minden",879,http://www.muehlenkreiskliniken.de
Chirurgische Innenstadtklinik Minden GmbH &amp; CO.KG,"Brühlstraße 33, 32423 Minden",30,http://www.innenstadtklinik.de
[2017-10-25 15:03:34] Karl-Hansen-Klinik GmbH,"Antoniusstr. 19, 33175 Bad Lippspringe",208,http://www.medizinisches-zentrum.de
St. Vincenz-Krankenhaus,"Am Busdorf 2, 33098 Paderborn",582,http://www.vincenz.de
St. Josefs-Krankenhaus,"Dr.-Krismann-Strasse 12, 33154 Salzkotten",208,http://www.st-josefs.de
Brüderkrankenhaus St. Josef Paderborn,"Husener Str. 46, 33098 Paderborn",382,http://www.bk-paderborn.de
St. Johannisstift Ev. Krankenhaus Paderborn,"Reumontstrasse 28, 33102 Paderborn",213,http://www.johannisstift.de
LWL-Klinik Paderborn - Standort Leostraße,"Leostraße 1, 33098 Paderborn",18,http://www.lwl-klinik-paderborn.de
LWL-Klinik Paderborn - Standort Mallinckrodtstraße,"Mallinckrodtstraße 22, 33098 Paderborn",12,http://www.lwl-klinik-paderborn.de
LWL-Klinik Paderborn - Standort Agathastraße,"Agathastraße 1, 33098 Paderborn",230,http://www.lwl-klinik-paderborn.de
LWL-Klinik Paderborn - Standort Salzkotten,"An der Burg 5, 33154 Salzkotten",20,http://www.lwl-klinik-paderborn.de
Artemed Fachklinik Prof.Dr.Dr.Salfeld GmbH und Co.KG,"Portastraße 33-35, 32545 Bad Oeynhausen",95,http://www.artemed-oeynhausen.de
Krankenhaus Mara gGmbH,"Maraweg 21, 33617 Bielefeld",177,http://www.evkb.de
Katholische Hospitalvereinigung Ostwestfalen gem. GmbH,"Kiskerstr. 26, 33615 Bielefeld",301,http://www.franziskus.de
Mathilden Hospital,"Renntormauer 1-3, 32052 Herford",166,http://www.mathilden-hospital.de
Sankt Vinzenz Hospital Rheda-Wiedenbrück,"St. Vinzenz Straße  1, 33378 Rheda Wiedenbrück",147,http://www.sankt-vinzenz.de
gpz GmbH Gemeindepsychiatrisches Zentrum GmbH,"Schlabrendorffweg 2-6, 32756 Detmold",125,http://www.gpz-lippe.de
"gpz, Tagesklinik Bad Meinberg, Pyrmonter Straße 12c, Horn-Bad Meinberg","Pyrmonter Straße 12c, 32805 Horn-Bad Meinberg",20,http://www.gpz-lippe.de
"gpz, Tagesklinik Lage, Hindenburgstraße 1, Lage","Hindenburgstraße 1, 32791 Lage",20,http://www.gpz-lippe.de
MEDIAN Klinik NRZ,"Forsthausweg 1, 32105 Bad Salzuflen",30,https://www.median-kliniken.de/de/standorte/median-klinik-nrz-bad-salzuflen/klinikprofil/
LWL-Universitätsklinikum Bochum,"Alexandrinenstraße 1-3, 44791 Bochum",219,http://www.lwl-uk-bochum.de/
Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil gGmbH,"Bürkle-de-la-Camp-Platz 1, 44789 Bochum",680,http://www.bergmannsheil.de
HELIOS St. Josefs-Hospital Bochum-Linden,"Axstraße 35, 44879 Bochum-Linden",181,http://www.helios-gesundheit.de/klinik/bochum-linden
St. Josef-Hospital,"Gudrunstraße 56, 44791 Bochum",708,http://www.klinikum-bochum.de
St. Elisabeth-Hospital,"Bleichstraße 15, 44787 Bochum",241,http://www.klinikum-bochum.de
St. Maria-Hilf-Krankenhaus,"Hiltroper Landwehr 11-13, 44805 Bochum",2,http://www.klinikum-bochum.de
Klinik Blankenstein Hattingen,"Im Vogelsang 5-11, 45527 Hattingen",169,http://www.klinikum-bochum.de
Marien-Hospital Wattenscheid,"Parkstraße 15, 44866 Bochum",180,http://www.klinikum-bochum.de
Augusta-Kranken-Anstalt gGmbH Bochum,"Bergstraße 26, 44791 Bochum",460,http://www.augusta-bochum.de/
Augusta-Kranken-Anstalt Bochum gGmbH,"Dr.-C.-Otto-Str. 27, 44879 Bochum-Linden",81,http://www.augusta-bochum.de/
Martin-Luther-Krankenhaus gGmbH - Voedestrasse,"Voedestr. 79, 44866 Bochum",245,http://mlk-bo.de
Martin-Luther-Krankenhaus gGmbH - Ridderstrasse,"Ridderstr. 40, 44867 Bochum",24,http://mlk-bo.de
Klinikum Dortmund Mitte,"Beurhausstraße 40, 44137 Dortmund",971,http://www.klinikumdo.de/
Klinikum Dortmund Nord,"Münsterstraße 240, 44145 Dortmund",451,http://www.klinikumdo.de
St.-Josefs-Hospital,"Wilhelm-Schmidt-Str. 4, 44263 Dortmund",293,http://www.josefs-hospital.de
Katholisches Krankenhaus Dortmund-West (Einrichtung der Kath. St. Lukas Gesellschaft),"Zollernstr. 40, 44379 Dortmund",263,http://www.krankenhaus-kirchlinde.de
St. Rochus-Hospital (Einrichtung der Kath. St. Lukas Gesellschaft),"Glückaufstr. 10, 44575 Castrop-Rauxe4l",204,http://www.rochus-hospital.de/
"Knappschaftskrankenhaus Lütgendortmund, Klinikum Westfalen GmbH","Volksgartenstraße 40, 44388 Dortmund",291,http://www.klinikum-westfalen.de
Hüttenhospital Dortmund gGmbH,"Am Marksbach 28, 44269 Dortmund",164,http://www.huettenhospital.de
LWL-Klinik Dortmund Psychiatrie - Psychotherapie - Psychosomatische Medizin - Rehabilitation - Prävention,"Marsbruchstraße 179, 44287 Dortmund",565,https://www.lwl-klinik-dortmund.de/de/
LWL-Klinik Dependance Unna,"Holbeinstr 10, 59423 Unna",45,N/A
LWL-Tagesklinik Dortmund,"Allerstr 1/24, 44287 Dortmund",25,N/A
LWL-Tagesklinik Brackel,"Schimmelstr. 5, 44309 Dortmund",20,N/A
LWL-Tagesklinik Lünen,"Altstadtstr 23a, 44534 Lünen",20,https://www.lwl-klinik-dortmund.de/de/
LWL-Tagesklinik Bergkamen,"Erich-Ollenhausen-Str. 7, 59192 Bergkamen",20,https://www.lwl-klinik-dortmund.de/de/
LWL-Tagesklinik Unna,"Falkstr 10, 59423 Unna",20,https://www.lwl-klinik-dortmund.de/de/
St. Marien-Hospital Hamm gem. GmbH,"Nassauerstraße 13-19, 59065 Hamm",259,http://www.marienhospital-hamm.de
St. Marien-Hospital Hamm gem. GmbH,"Nassauerstraße 13 -19, 59065 Hamm",325,http://www.marienhospital-hamm.de
Evangelisches Krankenhaus Hamm,"Werler Straße 110, 59063 Hamm",464,http://www.evkhamm.de
LWL-Universitätsklinik Hamm,"Heithofer Allee 64, 59071 Hamm",122,http://www.lwl-uk-hamm.de
LWL-Universitätsklink Hamm/ Tagesklinik Gütersloh,"Im Füchtei 148, 33334 Gütersloh",10,http://www.lwl-uk-hamm.de
LWL-Universitätsklink Hamm/ Tagesklinik Rheda-Wiedenbrück,"Osnabrücker Weg 34, 33378 Rheda-Wiedenbr",10,http://www.lwl-uk-hamm.de
LWL-Universitätsklinik Hamm/ Tagesklinik Bergkamen,"Bruktererstr. 30, 59192 Bergkamen",12,http://www.lwl-uk-hamm.de
LWL-Universitätsklinik Hamm/ Tagesklinik Soest,"Hattroper Weg 76, 59494 Soest",12,http://www.lwl-uk-hamm.de
LWL-Universitätsklinik Hamm/ Tagesklinik Warendorf,"Rosenstraße 21, 48231 Warendorf",12,http://www.lwl-uk-hamm.de
Klinik für Manuelle Therapie,"Ostenallee 83, 59071 Hamm",138,http://www.kmt-hamm.de/
"Marien Hospital Herne, Klinikum der Ruhr-Universität Bochum","Hölkeskampring 40, 44625 Herne",535,http://www.marienhospital-herne.de/
"Marien Hospital Herne, Klinikum der Ruhr-Univ. Bochum, Klinik f. Kinderchirurgie","Widumer Straße 8, 44627 Herne",40,http://www.marienhospital-herne.de/fachbereiche/klinik-fuer-kinderchirurgie.html
St. Anna Hospital,"Hospitalstr. 19, 44649 Herne",380,https://www.annahospital.de/home.html
St. Marien Hospital Eickel,"Marienstraße 2, 44651 Herne",212,http://www.marienhospital-eickel.de
Evangelisches Krankenhaus Herne - Standort Herne-Mitte,"Wiescherstrasse 24, 44623 Herne",310,http://www.evk-herne.de
Evangelisches Krankenhaus Herne - Standort Eickel,"Hordeler Str. 7-9, 44651 Herne",135,http://www.evk-herne.de
Rheumazentrum Ruhrgebiet,"Claudiusstr. 45, 44649 Herne",148,http://www.rheumazentrum-ruhrgebiet.de/
EvK Hattingen gGmbH,"Bredenscheider Straße 54, 45525 Hattingen",253,http://www.augusta-bochum.de/
Gemeinschaftskrankenhaus Herdecke gGmbH,"Gerhard-Kienle-Weg 4, 58313 Herdecke",471,http://www.gemeinschaftskrankenhaus.de/de/startseite/
HELIOS Klinikum Schwelm,"Dr.-Moeller-Straße 15, 58332 Schwelm",401,http://www.helios-gesundheit/schwelm.de
Orthopädische Klinik Volmarstein,"Lothar-Gau-Straße 11, 58300 Wetter",134,http://www.klinik-volmarstein.de
Marien Hospital Witten,"Marienplatz 2, 58452 Witten",362,http://www.marien-hospital-witten.de
Ev. Krankenhaus Witten gGmbH,"Pferdebachstraße 27, 58455 Witten",302,http://www.evk-witten.de
Städt. Krankenhaus Maria-Hilf Brilon gGmbH,"Am Schönschede 1, 59929 Brilon",200,http://www.krankenhaus-brilon.de
St.-Marien-Hospital Marsberg,"Marienstraße 2, 34431 Marsberg",131,http://www.bk-marsberg.de
LWL-Klinik Marsberg (Kinder- u. Jugendpsychiatrie) - Standort Paderborn,"Karl-Schoppe-Weg 4a, 33100 Paderborn",10,https://www.lwl-jugendpsychiatrie-marsberg.de/de/fur-patienteninnen/teilstat_behandlung/tagesklinik_paderb/
LWL-Klinik Marsberg (Kinder- u. Jugendpsychiatrie) - Standort Höxter,"Brenkhäuser Straße 73, 37671 Höxter",10,https://www.lwl.org/LWL/Gesundheit/psychiatrieverbund/K/klinik_marsberg_ki_u_ju_psychiatrie/teilstat_behandlung/tagesklinik_hoexter
LWL-Klinik Marsberg (Kinder- u. Jugendpsychiatrie) - Standort Meschede,"Feldstraße 1, 59872 Meschede",10,https://www.lwl.org/LWL/Gesundheit/psychiatrieverbund/K/klinik_marsberg_ki_u_ju_psychiatrie/teilstat_behandlung/tagesklinik_mesch
LWL-Klinik Marsberg (Kinder- u. Jugendpsychiatrie),"Bredelarer Straße 33, 34431 Marsberg",83,http://www.lwl.org/LWL/Gesundheit/psychiatrieverbund/K/klinik_marsberg_ki_u_ju_psychiatrie/
LWL-Klinik Marsberg - Standort Marsberg,"Weist 45, 34431 Marsberg",130,http://www.lwl-klinik-marsberg.de
LWL-Klinik Marsberg - Standort Schmallenberg-Fredeburg,"Von-Ascheberg-Straße 19a, 57392 Schmallenberg",15,https://www.lwl.org/LWL/Gesundheit/psychiatrieverbund/K/klinik_marsberg/teilstat_behandlung/tagesklinik_schmallenberg
Elisabeth-Klinik gGmbH,"Heinrich-Sommer-Straße 4, 59939 Olsberg",190,http://www.elisabeth-klinik.de
Fachkrankenhaus Kloster Grafschaft GmbH,"Annostraße 1, 57392 Schmallenberg-Holthausen",178,http://www.krankenhaus-klostergrafschaft.de
Sauerlandklinik Hachen gGmbH,"Siepenstraße 44, 59846 Sundern",125,http://www.sauerlandklinik.de
Neurologische Klinik Sorpesee GmbH &amp; Co. KG,"Lindenstraße 22, 59846 Sundern (Sauerland)",54,http://www.klinik-sorpesee.de
St. Franziskus-Hospital,"Franziskusstraße 2, 59955 Winterberg",100,http://www.gesundheitszentrum-winterberg.de/
Paracelsus-Klinik Hemer GmbH,"Breddestr. 22, 58675 Hemer",134,https://paracelsus-kliniken.de/hemer
LWL-Klinik Hemer- Hans-Prinzhorn Klinik,"Frönsberger Straße 71, 58657 Hemer",362,http://hans-prinzhorn-klinik.de/
Lungenklinik Hemer,"Theo-Funcciusstr. 1, 58675 Hemer",223,https://www.lungenklinik-hemer.de
"Marienhospital Letmathe, Märkische Kliniken GmbH","Hagener Straße 121, 58642 Iserlohn",90,http://www.maerkische-kliniken.de
"Klinikum Lüdenscheid, Märkische Kliniken GmbH","Paulmannshöher Straße 14, 58515 Lüdenscheid",908,http://www.maerkische-kliniken.de
Berglandklinik Lüdenscheid GmbH &amp; Co. KG,"Am Hundebrink 6, 58511 Lüdenscheid",28,http://www.berglandklinik-luedenscheid.de
Sportklinik Hellersen,"Paulmannshöher Straße 17, 58515 Lüdenscheid",260,http://www.sportklinik-hellersen.de
radprax Krankenhaus Plettenberg GmbH,"Ernst-Moritz-Arndt-Str. 17, 58840 Plettenberg",145,http://www.krankenhaus-plettenberg.de
"Stadtklinik Werdohl, Märkische Kliniken GmbH","Schulstraße 25, 58791 Werdohl",95,http://www.maerkische-kliniken.de
Helios Klinik Attendorn,"Hohler Weg 9, 57439 Attendorn",298,https://www.helios-gesundheit.de/kliniken/attendorn/
St. Martinus-Hospital Olpe,"Hospitalweg 6, 57462 Olpe",385,https://www.hospitalgesellschaft.com/
St. Josefs-Hospital Lennestadt,"Uferstr. 7, 57368 Lennestadt",187,http://www.hospitalgesellschaft.de
Klinik Wittgenstein,"Sählingsstraße 60, 57319 Bad Berleburg",130,http://www.klinik-wittgenstein.de
Kreisklinikum Siegen GmbH,"Weidenauer Straße 76, 57076 Siegen",595,https://www.kreisklinikum-siegen.de/
St. Marien-Krankenhaus Siegen,"Kampenstraße 51, 57072 Siegen",429,http://www.mariengesellschaft.de
DRK-Kinderklinik Siegen gGmbH,"Wellersbergstr. 60, 57072 Siegen",158,http://www.drk-kinderklinik.de
Hospital zum heiligen Geist,"Bachstraße 76, 59590 Geseke",65,http://www.krankenhaus-geseke.de
Dreifaltigkeits-Hospital,"Klosterstraße 31, 59555 Lippstadt",295,http://www.dreifaltigkeits-hospital.de
Marien-Hospital,"Von-Droste-Straße 14, 59597 Erwitte",95,http://www.dreifaltigkeits-hospital.de
Evangelisches Krankenhaus Lippstadt,"Wiedenbrücker Straße 33, 59555 Lippstadt",328,http://www.ev-krankenhaus.de/
LWL-Klinik für Psychiatrie und Psychotherapie Lippstadt,"Im Hofholz 6, 59556 Lippstadt",147,http://www.lwl-klinik-lippstadt.de/de/
